Inf,R
1.5,380
1.5,NaN
1.5,NaN
1.5,NaN
1.5,376
1.5,666
1.5,NaN
1.5,78
2,136
2,163
2,126
2,70
2,16
2,186
2,75
2,247
3,43
3,147
3,36
3,126
3,69
3,200
3,45
3,22
5,45
5,52
5,72
5,38
5,117
5,2
5,16
5,216
1,NaN
1,NaN
1,NaN
1,NaN
1,NaN
1,NaN
1,NaN
1,NaN
1.5,NaN
1.5,NaN
1.5,NaN
1.5,712
1.5,253
1.5,643
1.5,339
1.5,NaN
2.8,24
2.8,412
2.8,11
2.8,53
2.8,111
2.8,56
2.8,28
2.8,16
1.2,NaN
1.2,NaN
1.2,NaN
1.2,NaN
1.2,NaN
1.2,NaN
1.2,NaN
1.5,1707
1.5,453
1.5,328
1.5,48
1.5,2560
1.5,284
1.5,1499
1.5,3769
2.5,173
2.5,NaN
2.5,118
2.5,135
2.5,487
2.5,1185
2.5,27
2.5,NaN
2.5,84
2.5,81
2.5,640
2.5,8
2.5,1024
2.5,36
2.5,24
2.5,64
3.5,58
3.5,29
3.5,28
3.5,183
3.5,29
3.5,130
3.5,157
3.5,88
3.5,87
3.5,124
3.5,4
3.5,6
3.5,45
3.5,69
3.5,3
3.5,13
1.9,203
1.9,243
1.9,360
1.9,355
1.9,106
1.9,187
1.9,137
1.9,105
2.9,66
2.9,194
2.9,63
2.9,96
2.9,126
2.9,117
2.9,207
2.9,504
1.9,122
1.9,41
1.9,266
1.9,141
1.9,275
1.9,195
1.9,304
2.9,504
2.9,28
2.9,33
2.9,60
2.9,59
2.9,78
2.9,594
2.9,43
4.8,14
4.8,21
4.8,36
4.8,44
4.8,11
4.8,96
4.8,51
4.8,37
2.5,161
2.5,100
2.5,275
2.5,26
2.5,248
2.5,102
2.5,121
2.5,210
2.5,51
2.5,60
2.5,223
2.5,116
4,12
4,141
4,110
4,63
4,140
4,138
4,48
4,73
4,47
4,107
4,69
4,93
1.4,458
1.4,680
1.4,409
1.4,206
1.4,518
1.4,434
1.4,181
1.4,NaN
1.4,387
1.4,477
1.4,335
1.4,556
1.7,287
1.7,301
1.7,401
1.7,184
1.7,454
1.7,194
1.7,44
1.7,50
1.7,400
1.7,159
1.7,20
1.7,105
2,75
2,81
2,65
2,598
2,154
2,140
2,96
2,102
5,71
5,51
5,137
5,162
5,11
5,116
5,133
5,201
8.9,116
8.9,87
8.9,54
8.9,31
8.9,76
8.9,6
8.9,83
8.9,45
8.9,103
8.9,130
8.9,25
8.9,37
8.9,73
8.9,99
8.9,84
8.9,40
