Inf,R
1.5,54
1.5,133
1.5,110
1.5,166
1.5,162
1.5,172
1.5,376
1.5,156
1.5,70
1.5,112
1.5,118
1.5,93
3,205
3,33
3,10
3,81
3,143
3,195
3,385
3,35
3,129
3,218
3,226
3,172
4,53
4,33
4,14
4,13
4,30
4,39
4,19
4,40
4,25
4,3
4,58
4,36
6,26
6,90
6,1
6,117
6,48
6,63
6,7
6,63
6,30
6,2
6,21
6,28
9,1
9,14
9,13
9,7
9,55
9,26
9,232
9,38
9,15
9,11
9,1
9,42
15,32
15,37
15,257
15,40
15,3
15,19
15,26
15,36
15,7
15,330
15,405
15,376
20,11
20,10
20,20
20,15
20,4
20,14
20,6
20,8
20,8
20,16
20,3
20,15
27,24
27,31
27,10
27,30
27,8
27,22
27,10
27,16
27,5
27,5
27,24
27,1
36,1
36,2
36,15
36,374
36,7
36,110
36,10
36,18
36,2
36,7
36,1
36,5
55,5
55,14
55,1
55,2
55,3
55,2
55,1
55,1
55,4
55,1
55,5
55,16
72,6
72,17
72,7
72,1
72,19
72,6
72,8
72,6
72,1
72,2
72,11
72,2
110,5
110,2
110,3
110,4
110,4
110,98
110,3
110,1
110,3
110,3
110,8
110,5
178,4
178,2
178,10
178,5
178,4
178,2
178,2
178,5
178,12
178,4
178,6
178,6
299,1
299,1
299,2
299,8
299,3
299,6
299,5
299,8
299,2
299,1
299,3
299,2
